M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.2121212;0.2424242;0.33333334;0.1666667;0.04545455,0.38955823;0.14457828;0.13654621;0.1405623;0.18875499,0.1545455;0.29090908;0.32727268;0.17272729;0.05454545,0.1604938;0.22222224;0.39506173;0.1604938;0.061728403,0.23076923;0.2923077;0.3230769;0.12307691;0.030769235,0.0009615385
0.49450552;0.2197802;0.15384619;0.12087908;0.010989009,0.38955826;0.14457828;0.1365462;0.14056228;0.18875499,0.48571426;0.22142862;0.17142858;0.09999999;0.02142857,0.40909088;0.3295455;0.1590909;0.09090909;0.01136364,0.40476194;0.3333333;0.15476188;0.083333336;0.02380952,0
0.87219346;0.07426597;0.025906743;0.01899827;0.008635579,0.38955826;0.14457828;0.13654621;0.1405623;0.18875499,0.840052;0.08842654;0.033810142;0.023407022;0.01430429,0.6497461;0.17766502;0.081218265;0.055837568;0.035533004,0.8742004;0.063965894;0.040511735;0.012793182;0.008528786,0.0028846154
0.13846149;0.1230769;0.18461539;0.4;0.15384622,0.38955826;0.14457828;0.1365462;0.14056228;0.18875498,0.17307693;0.1057692;0.17307693;0.37500003;0.17307693,0.07042254;0.1267606;0.1830986;0.46478865;0.1549296,0.1428571;0.17857143;0.32142863;0.21428573;0.1428571,0.0009615385
0.49450552;0.2197802;0.15384619;0.120879084;0.0109890085,0.38955823;0.1445783;0.13654621;0.1405623;0.18875499,0.48571426;0.2214286;0.17142858;0.09999999;0.021428568,0.40909088;0.3295455;0.15909089;0.090909086;0.01136364,0.40476194;0.3333333;0.15476188;0.08333335;0.023809522,0
0.8721934;0.074265994;0.02590674;0.018998273;0.008635579,0.3895582;0.1445783;0.1365462;0.14056233;0.18875499,0.840052;0.08842653;0.033810142;0.023407022;0.01430429,0.64974624;0.17766495;0.08121828;0.055837553;0.035532996,0.8742004;0.06396588;0.040511727;0.0127931805;0.008528787,0
0.87219346;0.07426599;0.02590674;0.01899827;0.008635579,0.3895582;0.1445783;0.13654618;0.14056233;0.188755,0.840052;0.08842654;0.033810146;0.023407022;0.0143042905,0.6497462;0.17766497;0.08121827;0.055837557;0.035532996,0.8742004;0.06396588;0.04051173;0.012793181;0.008528788,0.0009615385
0.4945055;0.2197802;0.1538462;0.12087909;0.01098901,0.3895582;0.1445783;0.13654618;0.14056231;0.188755,0.48571426;0.22142859;0.17142859;0.09999999;0.021428568,0.40909088;0.32954547;0.15909092;0.09090909;0.011363641,0.4047619;0.33333334;0.15476187;0.08333336;0.02380952,0
0.87219346;0.07426599;0.025906738;0.01899827;0.008635579,0.3895582;0.1445783;0.13654618;0.14056231;0.188755,0.840052;0.08842653;0.033810142;0.023407022;0.01430429,0.6497462;0.17766497;0.08121827;0.055837553;0.035532996,0.8742004;0.06396588;0.040511727;0.01279318;0.008528788,0.0019230769
0.21212123;0.24242419;0.3333333;0.16666672;0.04545455,0.3895582;0.1445783;0.13654618;0.14056231;0.188755,0.1545455;0.29090905;0.3272727;0.17272729;0.05454545,0.1604938;0.22222221;0.39506176;0.1604938;0.061728407,0.2307692;0.29230773;0.32307693;0.12307692;0.030769233,0.0019230769
0.21212123;0.24242419;0.33333334;0.1666667;0.04545455,0.3895582;0.1445783;0.13654618;0.14056231;0.188755,0.1545455;0.29090908;0.32727268;0.1727273;0.05454545,0.16049382;0.22222221;0.39506176;0.16049382;0.061728407,0.2307692;0.29230773;0.32307693;0.123076916;0.03076923,0.0038461538
0.1384615;0.12307689;0.18461542;0.4;0.1538462,0.3895582;0.1445783;0.13654618;0.14056231;0.188755,0.17307691;0.1057692;0.17307691;0.37500006;0.17307691,0.07042254;0.1267606;0.1830986;0.46478868;0.1549296,0.1428571;0.17857142;0.32142866;0.21428572;0.1428571,0.0019230769
0.21212122;0.24242418;0.33333334;0.16666672;0.04545455,0.3895582;0.1445783;0.1365462;0.14056233;0.18875499,0.1545455;0.29090905;0.3272727;0.1727273;0.05454545,0.16049382;0.22222222;0.39506176;0.16049382;0.061728403,0.23076923;0.2923077;0.32307693;0.1230769;0.030769227,0.0009615385
0.41860464;0.30232558;0.093023255;0.1627907;0.02325581,0.43362835;0.10796462;0.11327431;0.17522122;0.16991149,0.2763158;0.39473692;0.1710526;0.14473678;0.01315789,0.2307692;0.43589744;0.1794872;0.12820512;0.02564103,0.3137255;0.3529412;0.19607839;0.117647074;0.019607838,0.0028846154
