M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.013661197,0.10796461,0.028112449,0.04861111,0.044444446,0
0.035519127,0.16991152,0.048192777,0.03819444,0.04444445,0
0.02635046,0.16991152,0.036144592,0.03703704,0.88222224,0
0.9341239,0.16991152,0.036144592,0.048611104,0.04,0
0.9341239,0.16991152,0.83935744,0.875,0.044444457,0
0.026350461,0.43362832,0.04819277,0.010416672,0.0044444455,0
0.9341239,0.1699115,0.04819276,0.04861111,0.044444457,0
0.026350457,0.1699115,0.028112445,0.010416672,0.028888885,0
0.9341239,0.16991149,0.83935744,0.13333331,0.044444464,0
0.9341239,0.43362832,0.04819277,0.027777782,0.039999995,0
0.005270092,0.17522123,0.048192766,0.03819444,0.028888892,0
0.9341239,0.43362835,0.048192773,0.037037052,0.028888892,0
0.005270092,0.1079646,0.83935744,0.027777778,0.0044444455,0
0.026350455,0.43362835,0.048192773,0.010416672,0.02888889,0
0.026350455,0.17522122,0.04819278,0.875,0.028888889,0.0021691974
0.08108109,0.107964605,0.09677418,0.17241381,0.122448996,0.0054229935
0.13953488,0.1699115,0.061224494,0.15384617,0.05357144,0.0010845987
0.41860458,0.1079646,0.03448276,0.16666669,0.3137255,0
0.013661196,0.17522123,0.048192773,0.01041667,0.88222224,0
0.015810281,0.17522123,0.048192773,0.048611104,0.028888889,0.0010845987
0.3018868,0.1132743,0.44827595,0.1388889,0.19607837,0
0.0052700923,0.17522123,0.03614458,0.02777778,0.040000003,0
0.0052700923,0.11327429,0.048192777,0.027777778,0.040000003,0.0010845987
0.3018868,0.11327431,0.034482755,0.027777778,0.1176471,0
0.040983602,0.43362835,0.028112447,0.048611104,0.04444445,0
0.040983602,0.11327431,0.03614458,0.048611112,0.004444445,0
0.038251366,0.43362835,0.04819277,0.038194444,0.028888889,0
0.038251366,0.113274306,0.83935744,0.875,0.040000003,0
0.040983602,0.16991152,0.04819277,0.038194444,0.040000003,0
0.05956678,0.1778523,0.06293707,0.027027028,0.009259258,0
0.025270762,0.442953,0.83916086,0.094594605,0.009259259,0
0.059566785,0.44295296,0.83916086,0.77477473,0.009259258,0
0.0072202156,0.11744971,0.062937066,0.022522522,0.027777778,0.0011185682
0.1785714,0.18875498,0.0909091,0.12727268,0.08333334,0.0022371365
0.21428573,0.1365462,0.10344828,0.15,0.23076922,0
0.9334764,0.38955826,0.022727273,0.08734939,0.8742004,0
0.019313307,0.14457828,0.040909085,0.042168666,0.008528785,0
0.008583689,0.14457828,0.036363646,0.08734939,0.8742004,0
0.008583692,0.38955823,0.8818182,0.02710843,0.04051173,0
0.9334764,0.38955823,0.04090909,0.02710843,0.01279318,0.0022371365
0.23809522,0.1365462,0.2758621,0.275,0.32307687,0.0022371365
0.19047622,0.1445783,0.2758621,0.27499998,0.2307692,0.0011185682
0.28571427,0.38955823,0.3636364,0.4909091,0.33333334,0.0011185682
0.24999997,0.1445783,0.36363637,0.16363637,0.4047619,0.0033557047
0.16129032,0.14056231,0.17241378,0.2758621,0.32142866,0.0055928412
0.04,0.1445783,0.42105252,0.4,0.02777778,0.0055928412
0.6376812,0.20565554,0.095238104,0.6666666,0.09090908,0.0100671141
0.08695653,0.14910004,0.095238104,0.1851852,0.6666667,0.0078299776
0.04347826,0.37018007,0.2380952,0.66666657,0.03030303,0.0134228188
0.08695652,0.37018007,0.23809521,0.05555556,0.1818182,0.0033557047
0.26923078,0.37018007,0.27272734,0.23076922,0.32352945,0.0067114094
0.08695652,0.13110542,0.095238104,0.08333334,0.030303027,0.0111856823
0.1449275,0.13110542,0.23809525,0.055555556,0.1818182,0.0123042506
0.08695652,0.14910002,0.095238104,0.18518521,0.18181819,0.0044742729
0.13461539,0.14395894,0.18181817,0.1951219,0.32352945,0.0067114094
0.14999999,0.17522123,0.51020414,0.055555552,0.62499994,0.0067114094
0.5,0.10796461,0.061224483,0.37500003,0.16071431,0.0067114094
0.5,0.1699115,0.5102041,0.05769231,0.05357143,0.0067114094
0.116666675,0.17522123,0.5102041,0.6153846,0.08928572,0.0078299776
0.11666669,0.113274306,0.20408162,0.09615384,0.089285724,0
0.9341239,0.113274306,0.03614459,0.03819444,0.04,0.0044742729
0.10294119,0.10796461,0.20454548,0.131579,0.10344831,0.0022371365
0.15,0.1699115,0.096774206,0.111111104,0.12244899,0.0078299776
0.049999997,0.43362835,0.20408162,0.09615384,0.625,0.0022371365
0.39999998,0.17522123,0.19354841,0.17241381,0.12244899,0.0055928412
0.1833333,0.17522123,0.122449,0.07692308,0.071428575,0.0022371365
0.15,0.17522125,0.35483873,0.13793102,0.2040816,0.0022371365
0.13333328,0.1699115,0.19354843,0.4482759,0.38775513,0
0.01581028,0.1699115,0.03614458,0.03819444,0.88222224,0.0011185682
0.1509434,0.1699115,0.24137932,0.16666667,0.3137255,0.0022371365
0.15,0.17522122,0.35483873,0.4482759,0.122448996,0.0055928412
0.15000002,0.43362835,0.122448996,0.07692309,0.08928572,0.0011185682
0.20454548,0.20565557,0.3636364,0.103448294,0.17073172,0.0067114094
0.6376812,0.14395894,0.23809521,0.6666666,0.030303026,0.0089485459
0.08695654,0.13110542,0.07142857,0.1851852,0.6666666,0.0067114094
0.0072202156,0.1174497,0.8330404,0.029411763,0.019370459,0
0.0072202166,0.114094004,0.08260106,0.029411761,0.8232446,0
0.05956679,0.17785232,0.024604572,0.8529412,0.8232446,0
0.8646209,0.114094004,0.047451667,0.0735294,0.019370457,0
0.030042917,0.1405623,0.0143042905,0.8582677,0.82824427,0
0.008583691,0.3895582,0.840052,0.023622049,0.82824427,0
0.008583691,0.1445783,0.840052,0.03149606,0.078244284,0
0.9334764,0.1445783,0.08842654,0.062992126,0.07824428,0
0.008635577,0.188755,0.0143042905,0.023622049,0.078244284,0
0.025906742,0.14056231,0.02340702,0.023622047,0.078244284,0
0.07426599,0.18875499,0.02340702,0.023622047,0.041984737,0
0.07426599,0.18875499,0.840052,0.031496055,0.041984733,0
0.025906738,0.1445783,0.023407016,0.03149606,0.034351137,0
0.05956679,0.442953,0.047451675,0.014705881,0.019370459,0
0.043321304,0.442953,0.08260105,0.09090907,0.08232445,0
0.043321297,0.114094,0.01230229,0.029411756,0.031476993,0
0.8646209,0.147651,0.8330404,0.54545456,0.031477,0
0.0072202175,0.114094004,0.024604565,0.014705879,0.04358353,0
0.043321297,0.114094004,0.047451675,0.029411763,0.043583527,0
0.059566785,0.442953,0.02460457,0.07352941,0.8232445,0
0.0072202166,0.114094,0.8330404,0.85294116,0.031477008,0
0.8715847,0.10796461,0.025210083,0.8705036,0.032258064,0
0.040983606,0.113274306,0.91260505,0.05755395,0.9112903,0
0.04098361,0.10796461,0.025210083,0.007194244,0.03225806,0
0.8715847,0.113274306,0.91260505,0.0071942443,0.02688172,0
0.035519127,0.1699115,0.91260505,0.8705036,0.024193546,0
0.9341238,0.17522123,0.028571436,0.049999997,0.02419355,0
0.026350463,0.113274306,0.91260505,0.028776983,0.91129035,0
0.0052700914,0.10796461,0.91260505,0.0071942457,0.91129035,0
0.9341238,0.43362835,0.005042018,0.028776983,0.026881715,0
0.026350457,0.1132743,0.91260505,0.0071942452,0.026881713,0
0.026350455,0.17522123,0.028571432,0.007194245,0.91129035,0
0.015810281,0.107964605,0.91260505,0.125,0.032258056,0
0.02635046,0.1699115,0.02857143,0.8705036,0.024193546,0
0.9341239,0.1132743,0.91260505,0.057553962,0.02419355,0
0.026350457,0.43362835,0.028571429,0.65,0.026881717,0
0.005270091,0.17522122,0.91260505,0.0071942452,0.03225806,0
0.018445319,0.10796461,0.028571429,0.8705036,0.024193551,0
0.02635046,0.11327431,0.0050420174,0.035971224,0.024193551,0.0020661157
0.16666672,0.10796461,0.10769228,0.099999994,0.1111111,0
0.01581028,0.43362835,0.028571429,0.0071942452,0.024193551,0
0.9341239,0.17522122,0.028571429,0.03597122,0.005376344,0
0.9341239,0.43362835,0.025210077,0.028776981,0.026881717,0
0.01581028,0.107964605,0.91260505,0.028776981,0.024193551,0
0.026350457,0.1699115,0.028571429,0.8705036,0.91129035,0
0.9341239,0.107964605,0.005042017,0.057553962,0.026881717,0
0.01581028,0.10796461,0.91260505,0.02877698,0.026881715,0
0.9341239,0.16991152,0.005042017,0.035971217,0.03225806,0
0.0072815525,0.37018007,0.86806595,0.81609195,0.8181818,0
0.03640777,0.13110541,0.008995503,0.04597701,0.039772727,0
0.007281554,0.13110541,0.04197901,0.81609195,0.8181818,0
0.8543689,0.20565554,0.04197901,0.08045977,0.056818187,0
0.8543689,0.20565554,0.055472262,0.81609195,0.056818187,0
0.043321308,0.114094004,0.024604576,0.0735294,0.08232444,0
0.0072202166,0.17785232,0.024604572,0.0735294,0.8232446,0
0.025270756,0.17785232,0.08260106,0.029411761,0.031476997,0
0.8646209,0.11744969,0.012302289,0.029411761,0.04358352,0
0.00858369,0.1405623,0.0143042905,0.03149606,0.04198473,0
0.9334764,0.188755,0.0143042905,0.023622049,0.82824427,0
0.019313311,0.188755,0.840052,0.02362205,0.017175572,0
0.9334764,0.1405623,0.08842654,0.02362205,0.01717557,0
0.02590674,0.188755,0.033810146,0.062992126,0.01717557,0
0.07426598,0.1445783,0.08842653,0.062992126,0.07824428,0
0.8721934,0.1445783,0.840052,0.062992126,0.078244284,0.0020661157
0.3333333,0.1365462,0.29090908,0.26666674,0.07792208,0.0020661157
0.2121212,0.1405623,0.15454552,0.19999999,0.19480523,0
0.030042918,0.1445783,0.840052,0.023622049,0.041984726,0.0020661157
0.23809522,0.1365462,0.29090908,0.19999999,0.18181817,0.0041322314
0.16129032,0.14056228,0.37500003,0.125,0.08602151,0
0.008583691,0.1405623,0.033810142,0.07692307,0.04198473,0.0061983471
0.2272727,0.17785232,0.2467532,0.4166667,0.13043478,0.0082644628
0.4090909,0.11409399,0.1558442,0.083333336,0.23188406,0.0020661157
0.2432432,0.442953,0.23404257,0.16666667,0.2419355,0
0.049504958,0.17785235,0.8330404,0.0735294,0.031477008,0.0061983471
0.05,0.16991152,0.38461542,0.14285712,0.026315784,0
0.026350457,0.10796461,0.005042018,0.05,0.02419355,0.0020661157
0.4,0.43362835,0.1692308,0.049999997,0.1777778,0
0.015810281,0.17522125,0.025210083,0.05755395,0.005376344,0
0.0052700914,0.16991152,0.028571427,0.02877698,0.026881717,0.0041322314
0.1029412,0.11327432,0.123595506,0.28571433,0.2075472,0.0020661157
0.14999999,0.11327431,0.1846154,0.16666669,0.1111111,0.0020661157
0.1333333,0.1699115,0.1692308,0.1,0.1111111,0
0.9341238,0.10796461,0.005042018,0.057553966,0.032258052,0
0.03468208,0.20565556,0.86806595,0.08045978,0.011363641,0
0.020231208,0.13110544,0.02548726,0.01149425,0.8181818,0.0020661157
0.036363635,0.37018007,0.14117649,0.2857143,0.086956516,0.0020661157
0.16363639,0.14395893,0.08235295,0.22222222,0.057971027,0.0020661157
0.21818176,0.14395894,0.1411765,0.28571433,0.057971023,0
0.026350461,0.17522123,0.028571432,0.028776981,0.032258052,0
0.0052700904,0.11327431,0.025210075,0.03597122,0.0053763436,0
0.02635046,0.43362835,0.02857143,0.028776981,0.005376344,0.0020661157
0.14999998,0.1699115,0.10769228,0.55,0.1111111,0
0.01581028,0.43362835,0.028571429,0.03597122,0.91129035,0
0.9341239,0.17522122,0.91260505,0.057553962,0.005376344,0
0.01581028,0.43362835,0.028571429,0.028776981,0.91129035,0
0.026350457,0.43362835,0.005042017,0.0071942452,0.03225806,0
0.9132948,0.13110541,0.025487259,0.045977008,0.039772723,0
0.9132948,0.37018007,0.04197901,0.011494248,0.05681818,0
0.026011562,0.14395893,0.868066,0.04597701,0.8181818,0.0020661157
0.02527076,0.06994819,0.082601056,0.007812499,0.04358354,0
